,Run,Host,Sample.Name,New_Name
1,SRR5962348,Homo sapiens,21AC,AC_21
2,SRR5962349,Homo sapiens,21V,V_21
3,SRR5962350,Homo sapiens,22AC,AC_22
4,SRR5962351,Homo sapiens,22V,V_22
5,SRR5962352,Homo sapiens,24V,V_24
6,SRR5962353,Homo sapiens,25AC,AC_25
7,SRR5962354,Homo sapiens,25V,V_25
8,SRR5962355,Homo sapiens,24AC,AC_24
9,SRR5962356,Homo sapiens,26AC,AC_26
10,SRR5962357,Homo sapiens,26V,V_26
11,SRR5962358,laboratory,4Room1,Control_laboratory_4Room1
12,SRR5962359,cabinet,4Hood5,Control_cabinet_4Hood5
13,SRR5962360,cabinet,4Hood1,Control_cabinet_4Hood1
14,SRR5962361,cabinet,4Hood4,Control_cabinet_4Hood4
15,SRR5962362,cabinet,4Hood3,Control_cabinet_4Hood3
16,SRR5962363,cabinet,4Hood2,Control_cabinet_4Hood2
17,SRR5962364,laboratory,3Room3,Control_laboratory_3Room3
18,SRR5962365,laboratory,3Room2,Control_laboratory_3Room2
19,SRR5962366,laboratory,3Room5,Control_laboratory_3Room5
20,SRR5962367,laboratory,3Room4,Control_laboratory_3Room4
21,SRR5962368,cabinet,7Hood3,Control_cabinet_7Hood3
22,SRR5962369,cabinet,7Hood2,Control_cabinet_7Hood2
23,SRR5962370,cabinet,7Hood1,Control_cabinet_7Hood1
24,SRR5962371,cabinet,7Hood4,Control_cabinet_7Hood4
25,SRR5962372,laboratory,7Room2,Control_laboratory_7Room2
26,SRR5962373,laboratory,7Room1,Control_laboratory_7Room1
27,SRR5962374,cabinet,7Hood6,Control_cabinet_7Hood6
28,SRR5962375,cabinet,7Hood5,Control_cabinet_7Hood5
29,SRR5962376,laboratory,7Room4,Control_laboratory_7Room4
30,SRR5962377,laboratory,7Room3,Control_laboratory_7Room3
31,SRR5962378,cabinet,3Hood5,Control_cabinet_3Hood5
32,SRR5962379,laboratory,3Room1,Control_laboratory_3Room1
33,SRR5962380,cabinet,3Hood3,Control_cabinet_3Hood3
34,SRR5962381,cabinet,3Hood4,Control_cabinet_3Hood4
35,SRR5962382,cabinet,3Hood1,Control_cabinet_3Hood1
36,SRR5962383,cabinet,3Hood2,Control_cabinet_3Hood2
37,SRR5962384,operating room,OR3A_1,Control_OR3A_1
38,SRR5962385,operating room,OR3B_2,Control_OR3B_2
39,SRR5962386,operating room,OR2A_1,Control_OR2A_1
40,SRR5962387,operating room,OR2B_2,Control_OR2B_2
41,SRR5962388,reagents,Kit5,Control_reagents_Kit5
42,SRR5962389,reagents,Kit6,Control_reagents_Kit6
43,SRR5962390,reagents,Kit1,Control_reagents_Kit1
44,SRR5962391,reagents,Kit2,Control_reagents_Kit2
45,SRR5962392,reagents,Kit3,Control_reagents_Kit3
47,SRR5962394,laboratory,4Room2,Control_laboratory_4Room2
48,SRR5962395,laboratory,4Room3,Control_laboratory_4Room3
49,SRR5962396,laboratory,4Room4,Control_laboratory_4Room4
50,SRR5962397,laboratory,4Room5,Control_laboratory_4Room5
51,SRR5962398,Homo sapiens,10V,V_10
52,SRR5962399,Homo sapiens,10AC,AC_10
53,SRR5962400,Homo sapiens,23V,V_23
54,SRR5962401,Homo sapiens,6V,V_06
55,SRR5962402,Homo sapiens,6AC,AC_06
56,SRR5962403,Homo sapiens,9V,V_09
57,SRR5962404,Homo sapiens,23AC,AC_23
58,SRR5962405,Homo sapiens,9AC,AC_09
59,SRR5962406,Homo sapiens,8V,V_08
60,SRR5962407,Homo sapiens,8AC,AC_08
61,SRR5962408,laboratory,7Room5,Control_laboratory_7Room5
62,SRR5962409,Homo sapiens,16AC,AC_16
63,SRR5962410,Homo sapiens,17V,V_17
64,SRR5962411,Homo sapiens,17AC,AC_17
65,SRR5962412,Homo sapiens,16V,V_16
66,SRR5962413,Homo sapiens,18V,V_18
67,SRR5962414,Homo sapiens,18AC,AC_18
68,SRR5962415,Homo sapiens,19V,V_19
70,SRR5962417,Homo sapiens,20AC,AC_20
